title,url,equipment,muscle,slug,instructions,difficulty,force,grips,mechanic
Barbell Bent Over Row,https://musclewiki.com/barbell/male/biceps/barbell-bent-over-row,barbell,biceps,barbell-bent-over-row,"[""Grab a barbell with a shoulder width pronated or supinated grip.\\"", ""Bend forward at your hips while maintaining a flat back.\\"", ""Pull the weight toward your upper abdomen.\\"", ""Lower the weight in a controlled manner and repeat.\\""]",,,,
Barbell Reverse Curl,https://musclewiki.com/barbell/male/biceps/barbell-reverse-curl,barbell,biceps,barbell-reverse-curl,"[""Take a double overhand grip that's about shoulder width. Flex your elbows while keeping your elbows tucked in. Try not to let them flare out.\\"", ""Curl until your forearm presses into your bicep. Then fully extend your elbows at the bottom of each rep.\\""]",,,,
Barbell Landmine Row,https://musclewiki.com/barbell/male/biceps/barbell-landmine-row,barbell,biceps,barbell-landmine-row,"[""Position a barbell in a landmine or corner of a room and stand facing it with your feet shoulder-width apart.\\"", ""Grasp the end of the barbell with a neutral grip, keeping your arms straight and your shoulders relaxed.\\"", ""Bend at the hips and knees to lower your torso until it is almost parallel to the ground.\\"", ""Pull the barbell towards your chest, squeezing your shoulder blades together as you row the weight up.\\""]",,,,
Barbell Long Landmine Row,https://musclewiki.com/barbell/male/biceps/barbell-long-landmine-row,barbell,biceps,barbell-long-landmine-row,"[""Position a barbell in a landmine or corner of a room and stand facing it with your feet shoulder-width apart.\\"", ""Grasp the end of the barbell with an overhand grip, keeping your arms straight and your shoulders relaxed.\\"", ""Bend at the hips and knees to lower your torso until it is almost parallel to the ground.\\"", ""Pull the barbell towards your chest, squeezing your shoulder blades together as you row the weight up.\\""]",,,,
Barbell Meadows Row,https://musclewiki.com/barbell/male/biceps/barbell-meadows-row,barbell,biceps,barbell-meadows-row,"[""Position a barbell in a landmine or corner of a room and stand facing sideways with a staggered stance and your feet shoulder-width apart.\\"", ""Grasp the end of the barbell with an overhand grip, keeping your arms straight and your shoulders relaxed.\\"", ""Bend at the hips and knees to lower your torso until it is almost parallel to the ground.\\"", ""Pull the barbell towards your chest, squeezing your shoulder blades together as you row the weight up.\\"", ""*Named after the late John Meadows\\""]",,,,
Barbell Pronated Pendlay Row,https://musclewiki.com/barbell/male/biceps/barbell-pronated-pendlay-row,barbell,biceps,barbell-pronated-pendlay-row,"[""Start hinged forward with a flat back and the plates resting on the floor. Make sure your elbows are fully extended.\\"", ""Pull the bar to your sternum.\\"", ""Return the plates back to the floor and let the bar come to a full dead stop.\\"", ""Then initiate the next rep.\\""]",,,,
Barbell Pronated Row,https://musclewiki.com/barbell/male/biceps/barbell-pronated-row,barbell,biceps,barbell-pronated-row,"[""Grab the barbell with an overhand grip. Hinge forward while keeping your back flat until your torso is about parallel with the ground.\\"", ""Let your arms hang freely.\\"", ""Pull the bar to your torso while tucking your elbows in slightly.\\"", ""Extend your elbows fully before initiating the next rep.\\""]",,,,
Barbell Supinated Pendlay Row,https://musclewiki.com/barbell/male/biceps/barbell-supinated-pendlay-row,barbell,biceps,barbell-supinated-pendlay-row,"[""Begin by standing in front of a barbell with your feet about hip-width apart and your palms facing towards your body.\\"", ""Bend at the hips and knees to grab the barbell with a pronated (overhand) grip, positioning the barbell about an inch away from your shins.\\"", ""Keeping your back straight and your core engaged, use your back muscles to lift the barbell straight up towards your chest.\\"", ""As the barbell reaches your chest, rotate your wrists so that your palms are facing towards your body (supinated grip), and then lower the barbell back to the starting position.\\""]",,,,
Barbell Supinated Row,https://musclewiki.com/barbell/male/biceps/barbell-supinated-row,barbell,biceps,barbell-supinated-row,"[""Begin by standing in front of a barbell with your feet about hip-width apart.\\"", ""Bend at the hips and knees to grab the barbell with a supinated (underhand) grip, positioning the barbell about an inch away from your shins.\\"", ""Keeping your back straight and your core engaged, use your back muscles to lift the barbell straight up towards your chest.\\"", ""As the barbell reaches your chest, pause briefly, and then lower the barbell back to the starting position.\\""]",,,,
Landmine Bicep Curl,https://musclewiki.com/barbell/male/biceps/landmine-bicep-curl,barbell,biceps,landmine-bicep-curl,"[""Stand beside the landmine with your feet shoulder-width apart while grasping the end of the landmine barbell with the hand farther away from the landmine attachment, palm facing up and your elbow close to your side.\\"", ""Curl the barbell up towards your opposite shoulder, contracting your bicep muscles, then slowly lower the barbell back down.\\"", ""Repeat for the desired number of reps before switching sides.\\""]",,,,
